yyyy-mm-dd,WMT,CLX,JNJ,PG,ROKU,CHTR,VZ,PTON,UBER,LYFT,SFM,KR,NFLX,GRUB,AMZN,CPB,ZM,MSFT,COST,BUD,USO,DJI,SBUX,MCD,DAL,UAL,PLNT,EQX,CCL,HLT,MAR,EXPE,CVS,ANTM
2020-01-27,115.8600,159.9600,148.7500,125.6900,126.2100,504.0800,59.9100,31.2500,36.3000,47.3600,16.5800,28.3300,342.8800,56.9000,1828.3400,48.7700,70.4400,162.2800,309.4500,75.5800,11.1000,28535.8008,88.7300,209.3400,56.8300,77.6300,78.5400,8.2900,45.2700,104.9400,138.0000,109.0800,70.9700,283.7900
2020-01-24,114.3700,158.2800,148.3200,125.1400,130.0900,504.6700,60.2800,30.5000,36.8000,48.4300,17.0300,28.1900,353.1600,58.5700,1861.6400,48.7900,73.0000,165.0400,310.5100,77.7400,11.4300,28989.7305,92.0300,211.2400,58.8100,81.9000,78.5200,8.4200,47.5200,108.4900,141.0200,112.1400,71.4300,297.2800
2020-01-23,115.8100,159.0700,148.5300,124.9900,134.0700,513.1400,60.5100,30.0600,37.4000,48.4800,17.2900,28.4400,349.6000,57.7400,1884.5800,48.9600,74.4700,166.7200,312.8800,78.2600,11.6600,29160.0898,93.7500,213.4200,60.2700,84.8800,78.1500,8.3800,49.4500,110.9600,144.9600,113.7300,73.5300,304.4000
2020-01-22,116.1000,159.6300,148.2500,126.3100,132.4300,510.7600,60.4800,30.6800,37.0400,47.4700,17.3100,28.3700,326.0000,56.3700,1887.4600,48.5700,75.6100,165.7000,311.8900,78.1100,11.9000,29186.2695,92.5300,211.4400,59.6400,83.3400,79.0600,8.2900,49.8800,110.8500,144.1200,110.0300,74.0100,303.5100
2020-01-21,115.5900,159.1000,149.2700,126.0900,136.6300,503.5900,60.3200,32.0000,37.6000,47.9800,17.3500,28.4100,338.1100,55.6800,1892.0000,48.5600,76.7300,166.5000,313.2600,78.8100,12.2400,29196.0391,92.5300,211.1600,60.3400,85.7900,78.9000,8.4500,50.6900,110.6200,144.3700,110.1700,74.5900,305.9900
2020-01-17,114.9600,157.7000,149.1700,126.4100,130.3800,502.7300,60.1300,31.7000,35.1300,46.5200,17.5900,28.1500,339.6700,55.9800,1864.7200,48.0200,75.5600,167.1000,304.6800,80.0300,12.3300,29348.0996,93.6200,211.9800,62.0300,89.7000,79.7500,8.3200,51.9000,113.9200,150.2600,111.8200,76.0200,305.3900
2020-01-16,115.9000,157.1300,148.2000,126.0700,131.0700,508.7800,59.6700,30.8300,34.6800,46.8300,17.8500,28.0800,338.6200,56.2500,1877.9400,48.0900,76.1100,166.1700,303.0300,79.6700,12.2900,29297.6406,92.5800,210.8500,61.8800,89.5400,79.1700,8.4100,51.3500,111.6000,149.0200,111.7400,76.0500,305.0500
2020-01-15,115.2800,156.6700,147.0100,125.9600,132.5000,515.4000,59.1000,30.8600,35.0100,47.0800,17.8200,28.2900,339.0700,55.1900,1862.0200,47.7800,76.9400,163.1800,300.8200,80.1700,12.1800,29030.2207,91.5400,209.7700,61.6200,88.2900,79.0200,8.8200,50.4400,109.6300,147.3000,110.7400,75.2700,301.5500
2020-01-14,116.1800,156.2500,146.5200,124.6900,133.4200,509.6200,59.0400,29.6900,34.8400,47.6800,17.7000,28.8400,338.6900,54.6800,1869.4400,47.5400,73.1600,162.1300,299.7500,80.0100,12.2800,28939.6699,90.9900,207.3200,61.4500,87.8500,79.8800,8.3900,50.2100,109.0900,147.1500,110.4100,73.8300,296.8800
2020-01-13,115.8800,156.2000,145.7000,124.8800,133.9300,510.1500,59.1500,28.5300,34.1400,46.3500,17.3400,28.4200,338.9200,53.6900,1891.3000,47.7200,74.0300,163.2800,299.8700,81.2800,12.2000,28907.0508,91.0800,206.5100,59.4900,86.8900,79.0400,7.9800,49.3600,109.2900,146.8000,110.5900,72.7600,296.7400
